sl.no.,isbn,title,series_title,series_release_number,authors,publisher,language,num_pages,format,genres,publication_date,rating_score,num_ratings,num_reviews,current_readers,want_to_read,price,url,ISBN10
40,9780441019427,Masques ,Sianim,1,Patricia Briggs,Ace Books,English,294,Mass Market Paperback,"['Fantasy', 'Magic', 'Romance', 'Paranormal', 'Fiction', 'Urban Fantasy', 'Science Fiction Fantasy']","December 1, 1993",3.91,11876.0,731.0,683.0,5462.0,3.99,https://www.goodreads.com/book/show/7857711-masques,0441019420
41,9780894801402,Edna O'Brien Reader,,,Edna O'Brien,Workman Publishing,English,224,Paperback,"['Humor', 'Nonfiction', 'Fashion', 'Comedy', 'Self Help', 'Pop Culture', 'History']","October 1, 1980",4.18,1850.0,173.0,65.0,2285.0,,https://www.goodreads.com/book/show/694201.Edna_O_Brien_Reader,0894801406
42,9780783816012,The First Man,,,Albert Camus,G K Hall & Co,English,359,Hardcover,"['Fiction', 'Philosophy', 'Classics', 'France', 'Literature', 'French Literature', 'Novels']","January 1, 1994",3.97,9689.0,750.0,972.0,17700.0,7.99,https://www.goodreads.com/book/show/15694.The_First_Man,0783816014
43,,The Making of the Atomic Bomb,,,Richard Rhodes,Puffin Books,English,192,Paperback,"['Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Humor', 'Realistic Fiction', 'Classics']","January 1, 1980",4.0,64093.0,1666.0,1206.0,8264.0,8.99,https://www.goodreads.com/book/show/16884.The_Making_of_the_Atomic_Bomb,
44,9780425128169,The Tortilla Curtain,,,T. Coraghessan Boyle,Berkley,English,339,Mass Market Paperback,"['Horror', 'Fiction', 'Thriller', 'Suspense', 'Mystery', 'Mystery Thriller', 'Coming Of Age']","January 1, 1980",3.96,19940.0,571.0,1048.0,12700.0,0.0,https://www.goodreads.com/book/show/24731.The_Tortilla_Curtain,0425128164
45,,A Monstrous Regiment of Women ,Mary Russell and Sherlock Holmes,2,Laurie R. King,Minotaur Books,English,303,Kindle Edition,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Historical Mystery', 'Crime', 'Mystery Thriller']","July 15, 1995",4.04,25739.0,2041.0,669.0,6653.0,12.99,https://www.goodreads.com/book/show/8330281-a-monstrous-regiment-of-women,
46,9780449225158,A Place Called Freedom,,,Ken Follett,Ballantine Books,English,437,Mass Market Paperback,"['Historical Fiction', 'Fiction', 'Historical', 'Thriller', 'Audiobook', 'Romance', 'Scotland']","August 28, 1995",4.04,37599.0,1824.0,4886.0,11300.0,8.99,https://www.goodreads.com/book/show/825509.A_Place_Called_Freedom,0449225151
47,9780425201374,The Lunatic Cafe ,"Anita Blake, Vampire Hunter",4,Laurell K. Hamilton,Berkley,English,352,Hardcover,"['Urban Fantasy', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Horror', 'Paranormal Romance']","January 1, 1996",4.13,78631.0,1559.0,792.0,10800.0,8.99,https://www.goodreads.com/book/show/30273.The_Lunatic_Cafe,0425201376
48,9780679772682,Hitler's Willing Executioners: Ordinary Germans and the Holocaust,,,Daniel Jonah Goldhagen,Vintage,English,634,Paperback,"['History', 'Nonfiction', 'Holocaust', 'World War II', 'Germany', 'War', 'Politics']","January 1, 1996",3.72,4885.0,280.0,401.0,6470.0,15.99,https://www.goodreads.com/book/show/784848.Hitler_s_Willing_Executioners,0679772685
49,9781860491818,Dead Over Heels ,Aurora Teagarden Mystery,5,Charlaine Harris,Virago,English,352,Paperback,"['Fiction', 'Historical Fiction', 'Classics', 'Australia', 'Novels', 'Literary Fiction', 'Literature']","March 14, 1980",4.0,4190.0,802.0,433.0,16700.0,11.99,https://www.goodreads.com/book/show/8129823-dead-over-heels,1860491812
50,,Into Thin Air: A Personal Account of the Mount Everest Disaster,,,Jon Krakauer,Anchor Books,English,368,Paperback,"['Nonfiction', 'Adventure', 'Memoir', 'Travel', 'Biography', 'History', 'Survival']","May 1, 1997",4.24,500000.0,18394.0,8583.0,248000.0,14.99,https://www.goodreads.com/book/show/1898.Into_Thin_Air,
51,9780802142849,Cold Mountain,,,Charles Frazier,Grove Press,English,449,Paperback,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Civil War', 'War', 'Classics']","January 1, 1997",3.88,241952.0,6500.0,2967.0,101000.0,2.99,https://www.goodreads.com/book/show/10920.Cold_Mountain,0802142842
52,9780765354952,Reliquary ,Pendergast,2,Douglas Preston,Tor Books,English,464,Mass Market Paperback,"['Thriller', 'Mystery', 'Horror', 'Fiction', 'Mystery Thriller', 'Suspense', 'Science Fiction']","January 1, 1997",4.03,46391.0,1864.0,1983.0,10600.0,9.99,https://www.goodreads.com/book/show/39030.Reliquary,0765354950
53,9781400031511,One Step Behind ,Wallander,7,Henning Mankell,Vintage Crime/Black Lizard,English,440,Paperback,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Sweden', 'Scandinavian Literature', 'Detective']","January 1, 1997",4.1,20965.0,911.0,543.0,6228.0,0.0,https://www.goodreads.com/book/show/666614.One_Step_Behind,1400031516
54,9780380794577,A Rake's Vow ,Cynster,2,Stephanie Laurens,Avon,English,374,Mass Market Paperback,"['Historical Romance', 'Romance', 'Historical', 'Regency', 'Historical Fiction', 'Regency Romance', 'Fiction']","October 1, 1998",4.01,12148.0,486.0,483.0,3285.0,7.99,https://www.goodreads.com/book/show/823580.A_Rake_s_Vow,0380794578
55,9788466302944,Pandora ,New Tales of the Vampires,1,Anne Rice,Punto de lectura,Spanish; Castilian,383,Paperback,"['Horror', 'Vampires', 'Fantasy', 'Fiction', 'Paranormal', 'Supernatural', 'Historical Fiction']","January 1, 1998",3.79,45140.0,939.0,521.0,20000.0,4.99,https://www.goodreads.com/book/show/31343.Pandora,8466302948
56,9780375706417,Waiting,,,Ha Jin,Vintage,English,310,Paperback,"['Fiction', 'China', 'Historical Fiction', 'Asia', 'Novels', 'Literature', 'Literary Fiction']","January 1, 1999",3.54,22214.0,2124.0,652.0,14200.0,12.99,https://www.goodreads.com/book/show/235773.Waiting,0375706410
57,9780312977108,A Place Of Safety ,Chief Inspector Barnaby,6,Caroline Graham,St. Martin's Paperbacks,English,288,Mass Market Paperback,"['Mystery', 'Fiction', 'Crime', 'British Literature', 'Cozy Mystery', 'Mystery Thriller', 'Detective']","January 1, 1999",4.01,2117.0,142.0,148.0,1240.0,11.99,https://www.goodreads.com/book/show/256937.A_Place_Of_Safety,0312977107
58,9780812575583,Winter's Heart ,The Wheel of Time,9,Robert Jordan,Tor Fantasy,English,780,Mass Market Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic']","November 7, 2000",3.97,135900.0,3669.0,4667.0,44000.0,9.99,https://www.goodreads.com/book/show/13891.Winter_s_Heart,081257558X
59,,Page ,Protector of the Small,2,Tamora Pierce,,English,290 pages,,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Magic', 'Adventure', 'Middle Grade']","May 23, 2000",4.25,49387.0,957.0,432.0,5769.0,7.99,https://www.goodreads.com/book/show/153785.Page,
60,,The Viscount Who Loved Me ,Bridgertons,2,Julia Quinn,Avon,English,354,Mass Market Paperback,"['Historical Romance', 'Historical Fiction', 'Historical', 'Fiction', 'Audiobook', 'Regency', 'Adult']","December 5, 2000",4.03,342788.0,26841.0,20700.0,113000.0,7.99,https://www.goodreads.com/book/show/861326.The_Viscount_Who_Loved_Me,
61,9780571225408,When We Were Orphans,,,Kazuo Ishiguro,Faber & Faber,English,320,Paperback,"['Fiction', 'Historical Fiction', 'Mystery', 'Literary Fiction', 'Historical', 'China', 'Contemporary']","January 16, 2000",3.53,40435.0,4010.0,2042.0,38900.0,12.99,https://www.goodreads.com/book/show/28923.When_We_Were_Orphans,0571225403
62,9782253152859,Blonde,,,Joyce Carol Oates,Le Livre de Poche,French,1110,Mass Market Paperback,"['Fiction', 'Historical Fiction', 'Historical', 'Novels', 'Literary Fiction', 'American', 'Literature']","January 1, 2000",3.94,15281.0,1723.0,2534.0,30900.0,8.99,https://www.goodreads.com/book/show/15975.Blonde,2253152854
63,9782226131904,Dreamcatcher,,,Stephen King,,English,688,Paperback,"['Horror', 'Fiction', 'Science Fiction', 'Thriller', 'Fantasy', 'Aliens', 'Supernatural']","February 20, 2001",3.65,174498.0,3497.0,2845.0,82700.0,13.99,https://www.goodreads.com/book/show/11570.Dreamcatcher,2226131906
